age,gender,religion,spokenLanguage,education,numberOfChildren,channel,goodPlace,goodPlaceScore,badPlace,badPlaceScore,teacherFriendly,choose,createdTime,travelTime,themeLevel
48,Male,Buddhism,Indonesian,Master or above,4,Social Media,Bio Lab,3,VA room,2,Disagree,Yes,28/01/2022,14,Partly Dislike
58,Genderqueer,Sikhism,Indonesian,Secondary School/Associate Degree/Diploma,4,Social Media,Library,5,Canteen,4,Agree,No,28/01/2022,49,Normal
53,Female,Catholicism,Filipino,University,4,Newspaper/ Magazine,Chem Lab,6,Phy Lab,7,Strongly Agree,Yes,28/01/2022,37,Partly Dislike
19,Female,Catholicism,English,Master or above,3,Friends/Extended Family/Neighbour,Phy Lab,9,Canteen,2,Strongly Agree,No,28/01/2022,14,Partly Like
20,Male,Confucianism,Indonesian,Master or above,5,Social Media,Canteen,7,Hall,6,Agree,Yes,29/01/2022,22,Strongly Dislike
59,Male,Protestantism,English,Master or above,0,Friends/Extended Family/Neighbour,Bio Lab,6,VA room,6,Disagree,Yes,29/01/2022,27,Partly Dislike
54,Male,Chinese God,Vietnamese,Master or above,3,School Website,Phy Lab,5,Chem Lab,5,Disagree,No,28/01/2022,56,Normal
24,Male,Catholicism,Filipino,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Canteen,4,Library,6,Strongly Agree,No,29/01/2022,52,Strongly Dislike
60,Male,Protestantism,Indonesian,Secondary School/Associate Degree/Diploma,2,Social Media,Library,10,Basketball Court,7,Strongly Disagree,Yes,29/01/2022,18,Strongly Dislike
24,Male,Sikhism,Filipino,University,5,School Website,Canteen,10,Hall,3,Neutral,Yes,28/01/2022,26,Strongly Like
33,Genderqueer,Hinduism,Filipino,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Phy Lab,6,Canteen,8,Neutral,Yes,28/01/2022,6,Strongly Like
19,Male,Sikhism,English,Secondary School/Associate Degree/Diploma,2,School Website,Bio Lab,0,Phy Lab,0,Agree,No,28/01/2022,7,Partly Dislike
41,Female,Taoism,Indonesian,Secondary School/Associate Degree/Diploma,5,Social Media,Canteen,6,VA room,7,Disagree,No,29/01/2022,9,Partly Like
54,Female,Protestantism,Thai,Primary School or below,1,Social Media,Basketball Court,4,Basketball Court,3,Strongly Agree,No,28/01/2022,23,Partly Like
52,Polygender,Sikhism,English,Primary School or below,1,Friends/Extended Family/Neighbour,Bio Lab,9,VA room,0,Agree,,29/01/2022,11,Partly Like
39,Male,Chinese God,Filipino,Secondary School/Associate Degree/Diploma,0,Social Media,Phy Lab,3,Hall,0,Neutral,No,28/01/2022,47,Normal
45,Male,Taoism,Vietnamese,Primary School or below,3,School Website,VA room,7,Hall,9,Disagree,No,29/01/2022,31,Normal
31,Male,Sikhism,Cantonese,Primary School or below,5,Friends/Extended Family/Neighbour,Hall,5,Library,10,Neutral,Yes,28/01/2022,47,Partly Like
37,Genderfluid,Catholicism,Cantonese,Secondary School/Associate Degree/Diploma,2,School Website,Library,10,Hall,5,Agree,Yes,29/01/2022,57,Partly Dislike
60,Male,Buddhism,Mandarin,Primary School or below,2,Newspaper/ Magazine,VA room,5,Hall,3,Agree,No,28/01/2022,46,Strongly Like
47,Bigender,Taoism,Filipino,University,1,Friends/Extended Family/Neighbour,Canteen,9,Canteen,1,Agree,No,29/01/2022,53,Partly Like
31,Female,Protestantism,English,Master or above,2,School Website,Hall,0,Basketball Court,8,Agree,Yes,29/01/2022,58,Partly Like
37,Female,Taoism,Thai,Primary School or below,1,School Website,Bio Lab,10,Hall,0,Strongly Disagree,No,29/01/2022,34,Normal
25,Male,Chinese God,Mandarin,Master or above,1,Newspaper/ Magazine,Library,1,Chem Lab,1,Disagree,No,28/01/2022,45,Normal
18,Female,Catholicism,Mandarin,University,3,Newspaper/ Magazine,Library,3,Bio Lab,8,Strongly Agree,,29/01/2022,13,Partly Dislike
46,Male,Chinese God,Thai,University,5,Newspaper/ Magazine,Chem Lab,6,VA room,1,Agree,Yes,28/01/2022,37,Strongly Like
38,Female,Protestantism,Indonesian,University,2,Social Media,Library,10,Bio Lab,6,Agree,Yes,28/01/2022,55,Partly Dislike
31,Male,Protestantism,Vietnamese,University,0,Friends/Extended Family/Neighbour,Canteen,6,Phy Lab,9,Agree,Yes,28/01/2022,21,Partly Like
28,Male,Chinese God,Vietnamese,Secondary School/Associate Degree/Diploma,3,Social Media,Phy Lab,8,Chem Lab,2,Neutral,Yes,28/01/2022,21,Normal
43,Male,Confucianism,Indonesian,Primary School or below,3,Newspaper/ Magazine,Chem Lab,3,Canteen,4,Agree,No,29/01/2022,16,Strongly Like
23,Female,Chinese God,English,Master or above,3,Social Media,VA room,7,Phy Lab,0,Strongly Agree,No,29/01/2022,58,Strongly Like
46,Male,Buddhism,Vietnamese,Primary School or below,5,Friends/Extended Family/Neighbour,Bio Lab,7,Canteen,4,Agree,Yes,29/01/2022,30,Normal
50,Male,Catholicism,Mandarin,Master or above,0,Social Media,Bio Lab,5,Bio Lab,7,Strongly Agree,,29/01/2022,30,Strongly Dislike
49,Non-binary,Hinduism,English,University,2,Social Media,Basketball Court,7,VA room,3,Agree,No,29/01/2022,53,Normal
57,Female,Islam,English,Primary School or below,1,Friends/Extended Family/Neighbour,VA room,3,Library,10,Strongly Agree,,29/01/2022,19,Partly Dislike
29,Male,Sikhism,Vietnamese,Master or above,5,Newspaper/ Magazine,Basketball Court,5,Hall,3,Agree,No,29/01/2022,11,Normal
44,Male,Confucianism,Thai,Primary School or below,4,School Website,Library,3,VA room,4,Neutral,Yes,29/01/2022,39,Partly Like
49,Female,Sikhism,Vietnamese,University,2,School Website,VA room,1,Basketball Court,4,Disagree,Yes,28/01/2022,37,Normal
22,Male,Buddhism,Cantonese,Master or above,1,Social Media,VA room,10,Chem Lab,0,Neutral,No,28/01/2022,17,Partly Like
60,Male,Hinduism,Indonesian,Secondary School/Associate Degree/Diploma,0,Social Media,Basketball Court,10,VA room,6,Neutral,No,28/01/2022,19,Normal
40,Male,Sikhism,Indonesian,Master or above,3,School Website,Chem Lab,0,Chem Lab,6,Neutral,,29/01/2022,33,Partly Like
48,Male,Buddhism,Filipino,Primary School or below,2,Friends/Extended Family/Neighbour,Chem Lab,7,VA room,2,Disagree,Yes,29/01/2022,35,Partly Like
40,Polygender,Catholicism,Cantonese,Master or above,4,Friends/Extended Family/Neighbour,Library,3,Library,0,Neutral,No,28/01/2022,34,Partly Dislike
23,Male,Hinduism,English,University,0,Friends/Extended Family/Neighbour,VA room,6,Basketball Court,2,Disagree,,29/01/2022,14,Strongly Like
45,Female,Islam,Vietnamese,Primary School or below,4,Newspaper/ Magazine,Bio Lab,8,Chem Lab,6,Disagree,No,28/01/2022,58,Strongly Dislike
32,Female,Buddhism,Filipino,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Phy Lab,1,Basketball Court,6,Disagree,No,28/01/2022,45,Normal
46,Male,Chinese God,Indonesian,Secondary School/Associate Degree/Diploma,1,School Website,Basketball Court,0,Phy Lab,1,Strongly Agree,,28/01/2022,27,Strongly Like
20,Female,Buddhism,Filipino,Master or above,4,Friends/Extended Family/Neighbour,Canteen,8,Chem Lab,1,Strongly Disagree,Yes,29/01/2022,12,Partly Like
24,Female,Islam,Vietnamese,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,VA room,3,Hall,8,Strongly Agree,No,28/01/2022,53,Normal
31,Female,Sikhism,Mandarin,Secondary School/Associate Degree/Diploma,3,School Website,Basketball Court,9,Library,7,Strongly Agree,Yes,28/01/2022,51,Strongly Dislike
57,Female,Sikhism,Vietnamese,Secondary School/Associate Degree/Diploma,0,School Website,Library,10,Bio Lab,3,Disagree,No,28/01/2022,38,Normal
22,Male,Buddhism,Cantonese,Primary School or below,3,School Website,VA room,10,Basketball Court,2,Agree,Yes,28/01/2022,52,Strongly Like
44,Male,Confucianism,Vietnamese,Master or above,5,Social Media,Hall,0,Canteen,3,Strongly Disagree,,29/01/2022,52,Partly Dislike
23,Male,Chinese God,Cantonese,Master or above,2,Friends/Extended Family/Neighbour,Chem Lab,10,Library,4,Neutral,No,28/01/2022,22,Partly Dislike
43,Male,Chinese God,Thai,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,VA room,3,Phy Lab,0,Strongly Disagree,Yes,29/01/2022,24,Partly Dislike
56,Female,Chinese God,Thai,University,3,Newspaper/ Magazine,Chem Lab,5,Basketball Court,6,Disagree,No,28/01/2022,17,Normal
57,Female,Chinese God,Cantonese,University,5,Social Media,Chem Lab,3,Hall,9,Strongly Agree,Yes,28/01/2022,50,Strongly Dislike
34,Female,Buddhism,Mandarin,Primary School or below,1,Friends/Extended Family/Neighbour,Chem Lab,4,Chem Lab,4,Strongly Disagree,Yes,28/01/2022,48,Strongly Dislike
56,Male,Sikhism,Cantonese,Master or above,0,Newspaper/ Magazine,Library,9,Basketball Court,1,Strongly Agree,,28/01/2022,26,Strongly Like
59,Female,Catholicism,Filipino,Master or above,3,Social Media,Bio Lab,1,Bio Lab,10,Agree,Yes,28/01/2022,60,Partly Dislike
42,Male,Catholicism,Mandarin,Primary School or below,3,Newspaper/ Magazine,Library,6,Chem Lab,0,Strongly Agree,Yes,28/01/2022,35,Normal
32,Polygender,Chinese God,Cantonese,University,4,Friends/Extended Family/Neighbour,Canteen,5,Phy Lab,2,Disagree,,29/01/2022,44,Partly Like
36,Female,Protestantism,Filipino,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Bio Lab,2,VA room,9,Disagree,No,29/01/2022,45,Normal
50,Female,Confucianism,English,University,4,Social Media,Bio Lab,2,VA room,0,Neutral,Yes,29/01/2022,40,Normal
44,Male,Catholicism,Filipino,Primary School or below,2,Newspaper/ Magazine,Phy Lab,9,Canteen,4,Agree,No,28/01/2022,56,Normal
48,Male,Islam,Thai,Primary School or below,1,School Website,Library,0,Hall,6,Agree,Yes,29/01/2022,30,Partly Dislike
46,Male,Hinduism,Filipino,University,4,Friends/Extended Family/Neighbour,Canteen,3,Bio Lab,7,Agree,No,29/01/2022,22,Partly Like
27,Agender,Islam,Vietnamese,Primary School or below,5,Newspaper/ Magazine,Bio Lab,0,Phy Lab,0,Strongly Agree,Yes,28/01/2022,41,Partly Dislike
25,Male,Taoism,Cantonese,Master or above,4,Newspaper/ Magazine,Basketball Court,7,Phy Lab,5,Strongly Agree,No,28/01/2022,25,Strongly Like
30,Female,Chinese God,Thai,Master or above,2,Social Media,Phy Lab,1,Bio Lab,5,Strongly Disagree,No,28/01/2022,52,Strongly Like
46,Female,Protestantism,Vietnamese,Primary School or below,5,School Website,Canteen,4,Library,5,Strongly Agree,No,28/01/2022,58,Normal
59,Bigender,Buddhism,English,University,4,Newspaper/ Magazine,Library,2,Library,10,Agree,No,28/01/2022,54,Normal
18,Male,Confucianism,Mandarin,Primary School or below,2,School Website,Phy Lab,0,Basketball Court,5,Strongly Agree,No,28/01/2022,31,Partly Dislike
44,Male,Buddhism,English,Master or above,0,Friends/Extended Family/Neighbour,Basketball Court,8,Canteen,2,Agree,No,28/01/2022,12,Partly Like
60,Male,Sikhism,Indonesian,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Library,6,Canteen,2,Agree,Yes,29/01/2022,43,Normal
23,Female,Buddhism,Vietnamese,Primary School or below,2,School Website,Library,9,VA room,1,Strongly Disagree,Yes,28/01/2022,49,Partly Dislike
19,Female,Catholicism,Cantonese,Master or above,5,Friends/Extended Family/Neighbour,Basketball Court,5,Library,7,Agree,Yes,29/01/2022,29,Strongly Dislike
18,Genderfluid,Catholicism,Vietnamese,Master or above,4,Newspaper/ Magazine,Phy Lab,10,Canteen,10,Neutral,Yes,28/01/2022,33,Partly Like
50,Male,Catholicism,Thai,Master or above,4,Newspaper/ Magazine,Chem Lab,4,Basketball Court,4,Strongly Agree,No,28/01/2022,54,Normal
29,Male,Taoism,Cantonese,Master or above,1,School Website,Bio Lab,6,Phy Lab,9,Strongly Agree,Yes,28/01/2022,30,Strongly Dislike
43,Female,Sikhism,Mandarin,Primary School or below,0,Social Media,Phy Lab,1,Canteen,6,Disagree,Yes,28/01/2022,12,Strongly Like
42,Female,Taoism,Vietnamese,Secondary School/Associate Degree/Diploma,2,School Website,VA room,9,Bio Lab,0,Neutral,No,28/01/2022,16,Partly Dislike
25,Male,Catholicism,Thai,Secondary School/Associate Degree/Diploma,1,School Website,Basketball Court,2,Canteen,4,Strongly Disagree,Yes,29/01/2022,41,Normal
52,Male,Protestantism,English,Master or above,3,School Website,Phy Lab,9,Canteen,0,Agree,No,29/01/2022,9,Strongly Dislike
56,Female,Buddhism,Mandarin,Secondary School/Associate Degree/Diploma,1,School Website,Hall,9,Canteen,9,Disagree,No,28/01/2022,41,Partly Dislike
39,Male,Sikhism,Vietnamese,Secondary School/Associate Degree/Diploma,4,School Website,Basketball Court,10,Basketball Court,0,Strongly Disagree,,28/01/2022,40,Partly Like
20,Female,Protestantism,Vietnamese,University,2,Newspaper/ Magazine,Library,2,VA room,5,Disagree,No,29/01/2022,16,Strongly Dislike
31,Male,Taoism,Thai,Primary School or below,5,Newspaper/ Magazine,Library,6,Phy Lab,8,Neutral,,28/01/2022,23,Partly Like
34,Female,Catholicism,Thai,University,3,Social Media,VA room,4,VA room,3,Disagree,,28/01/2022,5,Normal
35,Female,Protestantism,English,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Library,6,Canteen,9,Strongly Disagree,No,29/01/2022,33,Normal
50,Male,Protestantism,Mandarin,University,3,Newspaper/ Magazine,Basketball Court,9,Hall,8,Neutral,No,29/01/2022,25,Normal
43,Male,Chinese God,Vietnamese,Master or above,3,School Website,Library,4,Canteen,8,Neutral,No,29/01/2022,37,Normal
35,Female,Islam,Vietnamese,Primary School or below,1,Social Media,VA room,2,Bio Lab,8,Agree,No,29/01/2022,20,Partly Like
45,Female,Sikhism,Mandarin,University,1,Social Media,Bio Lab,7,Canteen,9,Neutral,No,29/01/2022,58,Strongly Dislike
31,Male,Chinese God,Mandarin,Secondary School/Associate Degree/Diploma,2,Social Media,Chem Lab,7,Phy Lab,10,Disagree,No,29/01/2022,15,Strongly Dislike
20,Male,Catholicism,Mandarin,Primary School or below,3,Newspaper/ Magazine,Library,6,Phy Lab,6,Strongly Disagree,No,29/01/2022,17,Partly Dislike
43,Male,Taoism,Cantonese,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Canteen,7,Canteen,4,Agree,No,28/01/2022,49,Normal
38,Male,Catholicism,English,Master or above,0,Social Media,Hall,4,Basketball Court,3,Neutral,No,28/01/2022,8,Partly Like
49,Female,Buddhism,Filipino,Master or above,3,Social Media,Library,6,Chem Lab,7,Strongly Agree,Yes,28/01/2022,35,Partly Like
38,Female,Sikhism,Vietnamese,Primary School or below,3,Newspaper/ Magazine,Hall,5,Canteen,8,Neutral,Yes,28/01/2022,56,Strongly Dislike
40,Female,Buddhism,Mandarin,Master or above,4,Friends/Extended Family/Neighbour,Canteen,7,VA room,8,Disagree,Yes,28/01/2022,29,Partly Dislike
21,Male,Protestantism,Mandarin,Primary School or below,4,School Website,Chem Lab,1,Canteen,5,Strongly Agree,No,29/01/2022,60,Normal
24,Agender,Islam,Filipino,University,4,Social Media,Library,1,Library,9,Disagree,No,28/01/2022,31,Strongly Like
22,Genderqueer,Chinese God,Indonesian,University,3,Friends/Extended Family/Neighbour,Bio Lab,5,Library,10,Agree,Yes,28/01/2022,48,Partly Dislike
41,Male,Hinduism,Indonesian,Primary School or below,1,Friends/Extended Family/Neighbour,Basketball Court,2,Hall,1,Strongly Disagree,,28/01/2022,38,Partly Dislike
57,Female,Sikhism,Indonesian,Master or above,2,Newspaper/ Magazine,Library,1,Bio Lab,9,Strongly Disagree,Yes,28/01/2022,47,Strongly Like
18,Male,Buddhism,Thai,University,3,Newspaper/ Magazine,Canteen,6,Phy Lab,9,Disagree,,29/01/2022,5,Normal
27,Male,Taoism,Filipino,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,Hall,10,Phy Lab,4,Strongly Agree,No,29/01/2022,25,Normal
25,Male,Confucianism,Filipino,University,1,School Website,Library,9,Basketball Court,6,Strongly Disagree,Yes,28/01/2022,29,Strongly Like
57,Male,Islam,Vietnamese,Master or above,5,Friends/Extended Family/Neighbour,Library,4,Chem Lab,8,Disagree,,28/01/2022,10,Strongly Like
34,Male,Taoism,Thai,University,5,Social Media,Basketball Court,7,Phy Lab,1,Strongly Agree,No,28/01/2022,33,Normal
38,Female,Taoism,Mandarin,Secondary School/Associate Degree/Diploma,1,Social Media,Basketball Court,5,Phy Lab,5,Neutral,,28/01/2022,45,Strongly Like
18,Female,Catholicism,English,Primary School or below,3,Social Media,Canteen,4,Library,5,Strongly Disagree,No,29/01/2022,40,Strongly Dislike
22,Male,Buddhism,Indonesian,Master or above,2,Newspaper/ Magazine,Phy Lab,4,VA room,9,Neutral,,28/01/2022,9,Partly Dislike
29,Male,Islam,Thai,Primary School or below,0,School Website,Chem Lab,10,Bio Lab,10,Agree,Yes,28/01/2022,34,Partly Like
37,Male,Hinduism,Cantonese,University,5,Newspaper/ Magazine,VA room,10,Phy Lab,8,Neutral,No,29/01/2022,37,Strongly Like
24,Female,Catholicism,Cantonese,University,3,Social Media,VA room,4,Phy Lab,9,Strongly Agree,Yes,29/01/2022,25,Strongly Dislike
21,Female,Islam,Filipino,Master or above,1,Friends/Extended Family/Neighbour,Basketball Court,5,Phy Lab,3,Neutral,No,29/01/2022,12,Strongly Dislike
53,Male,Taoism,Filipino,University,1,Newspaper/ Magazine,Basketball Court,7,Phy Lab,7,Strongly Disagree,,28/01/2022,27,Strongly Dislike
41,Genderqueer,Islam,Indonesian,Primary School or below,3,School Website,Hall,4,Chem Lab,5,Agree,,29/01/2022,31,Strongly Like
54,Female,Taoism,Vietnamese,Master or above,2,School Website,Phy Lab,6,VA room,1,Strongly Disagree,No,29/01/2022,53,Strongly Like
23,Female,Buddhism,Mandarin,University,4,Social Media,Basketball Court,6,Bio Lab,8,Disagree,,29/01/2022,17,Partly Like
38,Male,Buddhism,Cantonese,Secondary School/Associate Degree/Diploma,1,School Website,Library,3,VA room,9,Disagree,No,29/01/2022,15,Strongly Dislike
45,Female,Protestantism,Cantonese,Primary School or below,4,Social Media,Chem Lab,5,Canteen,0,Neutral,No,29/01/2022,38,Partly Like
44,Male,Buddhism,Indonesian,Primary School or below,0,Social Media,Hall,8,Canteen,8,Agree,,28/01/2022,14,Partly Dislike
37,Male,Confucianism,Vietnamese,Secondary School/Associate Degree/Diploma,4,Social Media,Canteen,0,Phy Lab,5,Disagree,Yes,28/01/2022,38,Partly Like
25,Male,Chinese God,Filipino,Master or above,4,Newspaper/ Magazine,Hall,10,Chem Lab,8,Neutral,Yes,28/01/2022,6,Partly Like
41,Female,Taoism,Indonesian,Primary School or below,1,Newspaper/ Magazine,Chem Lab,7,Hall,4,Disagree,No,29/01/2022,41,Strongly Dislike
28,Male,Catholicism,English,University,2,Friends/Extended Family/Neighbour,Canteen,0,Library,2,Disagree,No,29/01/2022,39,Partly Dislike
59,Male,Confucianism,Filipino,University,5,School Website,Bio Lab,9,Chem Lab,1,Agree,Yes,29/01/2022,36,Strongly Like
42,Female,Protestantism,Vietnamese,Master or above,3,School Website,Bio Lab,1,Canteen,9,Strongly Agree,Yes,28/01/2022,43,Partly Like
53,Female,Protestantism,Mandarin,Master or above,2,Friends/Extended Family/Neighbour,Canteen,8,Canteen,7,Strongly Agree,,29/01/2022,40,Partly Like
60,Female,Catholicism,Filipino,Secondary School/Associate Degree/Diploma,4,Social Media,Phy Lab,7,Bio Lab,7,Strongly Disagree,No,29/01/2022,10,Partly Like
35,Female,Protestantism,English,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Library,1,Bio Lab,1,Agree,Yes,29/01/2022,24,Strongly Dislike
43,Genderqueer,Sikhism,Mandarin,Secondary School/Associate Degree/Diploma,2,School Website,Canteen,8,Chem Lab,6,Strongly Disagree,No,29/01/2022,39,Partly Dislike
29,Male,Islam,Cantonese,Secondary School/Associate Degree/Diploma,5,School Website,Chem Lab,6,Phy Lab,2,Agree,,28/01/2022,15,Partly Dislike
23,Male,Confucianism,Mandarin,University,3,Newspaper/ Magazine,Library,0,Canteen,4,Strongly Agree,No,29/01/2022,24,Strongly Like
21,Male,Confucianism,Vietnamese,Master or above,1,Newspaper/ Magazine,Canteen,2,Library,3,Strongly Agree,Yes,28/01/2022,58,Strongly Dislike
38,Male,Sikhism,Thai,Primary School or below,1,Friends/Extended Family/Neighbour,VA room,7,Bio Lab,3,Neutral,No,29/01/2022,52,Partly Dislike
44,Male,Taoism,Cantonese,Master or above,1,Newspaper/ Magazine,Chem Lab,3,Canteen,6,Neutral,Yes,29/01/2022,22,Partly Dislike
23,Female,Sikhism,Mandarin,Master or above,1,Friends/Extended Family/Neighbour,Chem Lab,1,Basketball Court,2,Disagree,Yes,29/01/2022,36,Partly Like
22,Male,Islam,Vietnamese,Master or above,2,School Website,Library,7,Bio Lab,6,Strongly Agree,Yes,28/01/2022,19,Partly Dislike
42,Male,Taoism,Thai,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Basketball Court,1,Canteen,3,Agree,No,29/01/2022,26,Strongly Dislike
51,Male,Catholicism,Indonesian,Master or above,1,Newspaper/ Magazine,Basketball Court,0,Canteen,8,Neutral,,29/01/2022,15,Partly Like
