age,gender,religion,spokenLanguage,education,numberOfChildren,channel,goodPlace,goodPlaceScore,badPlace,badPlaceScore,teacherFriendly,choose,createdTime,travelTime
60,Female,Taoism,English,Master or above,3,School Website,Library,5,Chem Lab,7,Agree,Yes,28/01/2021,21
51,Male,Confucianism,Mandarin,Master or above,0,Social Media,Phy Lab,5,Basketball Court,8,Agree,No,29/01/2021,30
55,Female,Protestantism,Thai,Primary School or below,0,Newspaper/ Magazine,Basketball Court,6,Basketball Court,5,Agree,Yes,28/01/2021,16
55,Female,Sikhism,English,University,0,Friends/Extended Family/Neighbour,VA room,2,VA room,8,Disagree,No,29/01/2021,56
20,Male,Taoism,Mandarin,Primary School or below,5,School Website,Canteen,7,Phy Lab,6,Disagree,Yes,29/01/2021,31
37,Male,Chinese God,Cantonese,Primary School or below,3,Social Media,Canteen,7,Chem Lab,4,Strongly Disagree,No,29/01/2021,9
50,Female,Confucianism,Thai,University,2,Newspaper/ Magazine,VA room,7,Canteen,3,Strongly Disagree,Yes,28/01/2021,17
36,Male,Confucianism,Vietnamese,Master or above,1,Friends/Extended Family/Neighbour,Hall,3,Bio Lab,9,Neutral,Yes,28/01/2021,20
43,Female,Hinduism,English,Primary School or below,3,School Website,Hall,5,Canteen,9,Strongly Agree,,29/01/2021,50
21,Male,Catholicism,English,Master or above,2,Newspaper/ Magazine,Hall,6,Chem Lab,4,Strongly Agree,Yes,28/01/2021,5
44,Female,Protestantism,Indonesian,University,0,School Website,Chem Lab,9,Library,10,Disagree,,28/01/2021,39
55,Genderfluid,Confucianism,Thai,Secondary School/Associate Degree/Diploma,2,School Website,Basketball Court,1,VA room,8,Agree,No,28/01/2021,15
29,Male,Hinduism,Indonesian,Primary School or below,3,Friends/Extended Family/Neighbour,Bio Lab,10,Library,3,Strongly Agree,,28/01/2021,6
25,Bigender,Hinduism,Thai,Master or above,5,Social Media,Basketball Court,5,VA room,0,Neutral,Yes,29/01/2021,13
57,Male,Taoism,Vietnamese,University,2,School Website,Canteen,9,Canteen,8,Strongly Disagree,Yes,28/01/2021,54
43,Female,Catholicism,English,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Hall,5,Phy Lab,1,Disagree,Yes,28/01/2021,9
19,Male,Buddhism,Indonesian,University,1,School Website,Phy Lab,10,VA room,1,Disagree,,28/01/2021,51
20,Female,Taoism,Filipino,University,5,School Website,VA room,0,Library,10,Agree,,28/01/2021,6
47,Female,Islam,Vietnamese,Secondary School/Associate Degree/Diploma,0,School Website,Chem Lab,3,Library,3,Agree,,28/01/2021,52
28,Female,Chinese God,Thai,Primary School or below,3,School Website,Hall,7,Phy Lab,4,Neutral,Yes,28/01/2021,7
19,Male,Buddhism,Thai,Primary School or below,5,Newspaper/ Magazine,Phy Lab,10,Canteen,6,Disagree,No,29/01/2021,19
56,Female,Taoism,Vietnamese,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Bio Lab,10,Bio Lab,7,Strongly Agree,Yes,29/01/2021,59
35,Male,Confucianism,Cantonese,Master or above,5,Newspaper/ Magazine,Chem Lab,6,Bio Lab,0,Strongly Agree,No,28/01/2021,27
25,Male,Taoism,Cantonese,Primary School or below,4,Newspaper/ Magazine,Phy Lab,6,Chem Lab,1,Strongly Agree,,29/01/2021,24
23,Genderqueer,Chinese God,Mandarin,University,5,Social Media,Library,0,Chem Lab,7,Disagree,Yes,29/01/2021,55
52,Female,Sikhism,Indonesian,Primary School or below,0,Social Media,Bio Lab,5,Phy Lab,8,Agree,Yes,28/01/2021,21
22,Genderfluid,Sikhism,Indonesian,Secondary School/Associate Degree/Diploma,4,School Website,Library,10,Library,5,Disagree,No,28/01/2021,7
58,Male,Islam,Indonesian,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Canteen,5,Bio Lab,10,Neutral,No,28/01/2021,12
36,Male,Taoism,Mandarin,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Basketball Court,7,Library,6,Agree,Yes,29/01/2021,28
21,Male,Taoism,Vietnamese,Master or above,2,Newspaper/ Magazine,Chem Lab,8,Phy Lab,3,Agree,No,28/01/2021,54
46,Female,Taoism,Mandarin,Primary School or below,0,Social Media,Chem Lab,10,Chem Lab,8,Disagree,No,29/01/2021,29
36,Male,Confucianism,Cantonese,Secondary School/Associate Degree/Diploma,3,Social Media,Canteen,1,Bio Lab,0,Neutral,,29/01/2021,28
21,Male,Protestantism,Thai,University,4,Newspaper/ Magazine,Bio Lab,9,Library,6,Strongly Agree,Yes,28/01/2021,7
49,Male,Chinese God,Thai,Master or above,2,Social Media,Phy Lab,2,Bio Lab,2,Disagree,No,29/01/2021,18
53,Male,Sikhism,Vietnamese,Primary School or below,2,Social Media,Chem Lab,4,Canteen,9,Strongly Disagree,No,28/01/2021,50
49,Male,Chinese God,Cantonese,Primary School or below,3,Friends/Extended Family/Neighbour,Chem Lab,2,Chem Lab,0,Strongly Agree,No,28/01/2021,32
36,Female,Islam,English,Primary School or below,1,Friends/Extended Family/Neighbour,Canteen,1,Chem Lab,0,Strongly Agree,Yes,29/01/2021,28
46,Male,Chinese God,English,Master or above,5,Friends/Extended Family/Neighbour,Library,9,Phy Lab,3,Strongly Agree,No,28/01/2021,43
59,Male,Hinduism,Mandarin,Primary School or below,1,Newspaper/ Magazine,VA room,7,Canteen,3,Strongly Agree,Yes,29/01/2021,54
33,Female,Islam,Filipino,Master or above,3,School Website,Canteen,6,Canteen,9,Disagree,No,28/01/2021,24
38,Female,Hinduism,English,Primary School or below,4,Social Media,Library,9,Canteen,6,Neutral,Yes,29/01/2021,18
32,Male,Buddhism,English,Primary School or below,4,Social Media,Hall,2,Hall,1,Disagree,Yes,28/01/2021,33
32,Female,Taoism,Mandarin,University,4,Friends/Extended Family/Neighbour,Chem Lab,3,Canteen,3,Disagree,No,29/01/2021,28
36,Female,Protestantism,English,Primary School or below,3,Social Media,Phy Lab,2,Bio Lab,10,Strongly Agree,Yes,29/01/2021,37
45,Male,Catholicism,Filipino,Master or above,1,Newspaper/ Magazine,Hall,8,Hall,9,Strongly Agree,,29/01/2021,44
60,Female,Taoism,English,University,0,Newspaper/ Magazine,Chem Lab,4,Chem Lab,5,Disagree,Yes,28/01/2021,59
35,Male,Protestantism,Cantonese,Primary School or below,5,Social Media,Phy Lab,0,Bio Lab,9,Neutral,No,29/01/2021,15
59,Male,Taoism,Cantonese,University,2,Newspaper/ Magazine,Library,6,Chem Lab,6,Neutral,Yes,29/01/2021,40
56,Male,Taoism,Filipino,Master or above,5,School Website,Canteen,3,Chem Lab,10,Strongly Agree,No,28/01/2021,37
53,Male,Buddhism,Filipino,Master or above,4,Friends/Extended Family/Neighbour,Canteen,8,Canteen,3,Strongly Agree,,28/01/2021,34
52,Female,Catholicism,Mandarin,Primary School or below,5,Newspaper/ Magazine,Chem Lab,6,Canteen,5,Neutral,Yes,29/01/2021,51
27,Male,Protestantism,Vietnamese,Master or above,1,Newspaper/ Magazine,Canteen,10,Hall,0,Disagree,No,28/01/2021,12
30,Female,Islam,Mandarin,Primary School or below,3,Friends/Extended Family/Neighbour,Bio Lab,6,Basketball Court,5,Strongly Agree,Yes,28/01/2021,7
53,Male,Chinese God,Vietnamese,Master or above,0,Friends/Extended Family/Neighbour,Hall,4,Basketball Court,4,Strongly Disagree,Yes,28/01/2021,53
31,Male,Catholicism,Vietnamese,University,0,School Website,Phy Lab,5,Basketball Court,5,Disagree,Yes,29/01/2021,38
34,Genderfluid,Catholicism,Indonesian,Primary School or below,2,School Website,Canteen,9,Canteen,2,Disagree,Yes,29/01/2021,36
43,Male,Catholicism,Mandarin,Primary School or below,2,Social Media,Hall,1,Library,10,Disagree,Yes,28/01/2021,13
42,Female,Chinese God,Mandarin,Secondary School/Associate Degree/Diploma,5,Social Media,VA room,8,Library,1,Neutral,Yes,29/01/2021,22
31,Female,Catholicism,English,Master or above,4,Friends/Extended Family/Neighbour,Basketball Court,2,Chem Lab,0,Strongly Disagree,Yes,28/01/2021,34
30,Female,Chinese God,Cantonese,Master or above,4,School Website,Library,9,Phy Lab,3,Agree,Yes,28/01/2021,21
38,Agender,Hinduism,Thai,Primary School or below,1,Newspaper/ Magazine,Chem Lab,5,Hall,7,Strongly Disagree,No,29/01/2021,33
36,Male,Chinese God,Vietnamese,Secondary School/Associate Degree/Diploma,5,Social Media,Library,0,Hall,5,Strongly Agree,Yes,29/01/2021,60
49,Female,Sikhism,Filipino,Primary School or below,1,Friends/Extended Family/Neighbour,Bio Lab,10,Phy Lab,2,Strongly Disagree,,29/01/2021,7
34,Male,Islam,English,Secondary School/Associate Degree/Diploma,2,Social Media,Library,5,VA room,3,Neutral,No,28/01/2021,11
56,Female,Sikhism,Thai,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Chem Lab,4,Basketball Court,0,Strongly Agree,No,29/01/2021,17
33,Female,Hinduism,Thai,Master or above,1,Friends/Extended Family/Neighbour,VA room,0,Hall,10,Neutral,No,28/01/2021,7
45,Female,Islam,Cantonese,University,1,Social Media,Library,5,Chem Lab,8,Strongly Agree,Yes,29/01/2021,20
53,Non-binary,Islam,Cantonese,Primary School or below,1,Newspaper/ Magazine,Library,1,Hall,8,Agree,Yes,28/01/2021,28
45,Male,Chinese God,English,Master or above,0,Newspaper/ Magazine,Hall,5,Bio Lab,4,Disagree,No,29/01/2021,58
54,Female,Sikhism,English,University,5,School Website,Basketball Court,7,Canteen,2,Disagree,No,28/01/2021,10
34,Female,Confucianism,Filipino,Master or above,2,Newspaper/ Magazine,Canteen,5,Hall,4,Agree,,28/01/2021,45
36,Male,Catholicism,English,Master or above,0,Newspaper/ Magazine,Hall,3,Library,5,Disagree,Yes,28/01/2021,58
23,Female,Buddhism,Vietnamese,Master or above,4,Social Media,Canteen,1,Library,4,Agree,No,28/01/2021,24
28,Male,Taoism,English,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Canteen,9,Canteen,1,Strongly Agree,Yes,29/01/2021,19
46,Genderqueer,Protestantism,Vietnamese,University,1,School Website,VA room,2,Hall,8,Strongly Disagree,No,29/01/2021,36
31,Polygender,Protestantism,English,Secondary School/Associate Degree/Diploma,2,Social Media,Bio Lab,4,Bio Lab,0,Strongly Agree,No,28/01/2021,60
23,Genderqueer,Confucianism,Vietnamese,Primary School or below,4,Social Media,Hall,0,Library,3,Disagree,No,29/01/2021,53
27,Female,Taoism,Filipino,Primary School or below,4,Friends/Extended Family/Neighbour,Phy Lab,5,Basketball Court,2,Disagree,Yes,28/01/2021,49
24,Female,Chinese God,Thai,Master or above,3,School Website,Chem Lab,2,VA room,2,Disagree,,29/01/2021,28
36,Female,Chinese God,Thai,University,1,Social Media,Chem Lab,10,Chem Lab,9,Disagree,No,29/01/2021,8
40,Female,Chinese God,Indonesian,University,5,School Website,Phy Lab,1,VA room,6,Neutral,No,28/01/2021,58
33,Male,Catholicism,Mandarin,Master or above,0,School Website,Phy Lab,7,Bio Lab,2,Disagree,Yes,29/01/2021,15
50,Female,Hinduism,Cantonese,Primary School or below,2,Newspaper/ Magazine,Library,3,Bio Lab,9,Neutral,Yes,28/01/2021,27
32,Female,Hinduism,Filipino,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Basketball Court,10,Canteen,2,Neutral,,29/01/2021,41
59,Female,Protestantism,Cantonese,Master or above,4,Newspaper/ Magazine,Basketball Court,0,Chem Lab,3,Strongly Agree,Yes,29/01/2021,60
38,Male,Islam,Thai,Primary School or below,4,Friends/Extended Family/Neighbour,Library,8,Library,2,Disagree,No,28/01/2021,23
39,Male,Islam,English,Primary School or below,1,School Website,Hall,3,Bio Lab,7,Strongly Disagree,Yes,29/01/2021,12
33,Male,Catholicism,Cantonese,Master or above,1,Social Media,Canteen,5,Basketball Court,0,Strongly Disagree,Yes,29/01/2021,21
26,Female,Buddhism,Vietnamese,Primary School or below,5,Friends/Extended Family/Neighbour,VA room,9,Canteen,5,Neutral,Yes,28/01/2021,43
37,Female,Confucianism,Indonesian,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Phy Lab,2,VA room,10,Strongly Disagree,Yes,29/01/2021,32
37,Male,Hinduism,Thai,Master or above,4,Friends/Extended Family/Neighbour,Phy Lab,2,Chem Lab,5,Strongly Agree,Yes,29/01/2021,32
40,Male,Protestantism,English,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Canteen,10,Basketball Court,10,Strongly Agree,Yes,28/01/2021,49
46,Male,Taoism,Vietnamese,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,VA room,9,Phy Lab,3,Neutral,,29/01/2021,60
37,Bigender,Islam,Indonesian,Primary School or below,0,Social Media,Hall,0,Phy Lab,1,Agree,Yes,28/01/2021,32
21,Male,Hinduism,Mandarin,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,VA room,9,Basketball Court,8,Strongly Disagree,Yes,29/01/2021,15
25,Male,Hinduism,Mandarin,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Library,9,Hall,7,Agree,Yes,28/01/2021,46
21,Male,Confucianism,Vietnamese,University,1,Friends/Extended Family/Neighbour,VA room,0,Canteen,10,Neutral,,29/01/2021,30
25,Female,Chinese God,English,Secondary School/Associate Degree/Diploma,3,School Website,Hall,0,Phy Lab,9,Disagree,No,29/01/2021,52
56,Male,Catholicism,Cantonese,Master or above,2,School Website,Hall,0,VA room,2,Disagree,No,29/01/2021,49
41,Male,Chinese God,English,Primary School or below,2,Social Media,Library,4,Bio Lab,2,Strongly Disagree,No,28/01/2021,22
55,Male,Buddhism,Vietnamese,Primary School or below,0,Newspaper/ Magazine,VA room,7,Canteen,1,Strongly Disagree,No,29/01/2021,39
28,Male,Buddhism,Thai,Master or above,5,Newspaper/ Magazine,Phy Lab,3,Basketball Court,5,Neutral,Yes,28/01/2021,37
35,Male,Hinduism,Filipino,Primary School or below,1,School Website,VA room,10,Library,2,Disagree,No,29/01/2021,23
51,Female,Hinduism,Indonesian,Primary School or below,3,School Website,Phy Lab,9,Basketball Court,7,Agree,Yes,28/01/2021,60
57,Female,Hinduism,Mandarin,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,Basketball Court,8,Canteen,3,Neutral,No,28/01/2021,22
51,Male,Sikhism,Thai,Primary School or below,2,Newspaper/ Magazine,Phy Lab,10,Canteen,4,Disagree,Yes,29/01/2021,45
38,Female,Protestantism,English,Master or above,0,School Website,Library,1,Basketball Court,2,Strongly Agree,Yes,29/01/2021,54
45,Female,Sikhism,Vietnamese,Primary School or below,2,Newspaper/ Magazine,Chem Lab,5,Library,2,Agree,No,28/01/2021,17
21,Female,Catholicism,Thai,Primary School or below,3,School Website,Phy Lab,6,Bio Lab,6,Agree,Yes,29/01/2021,55
39,Female,Sikhism,English,Secondary School/Associate Degree/Diploma,5,Social Media,Hall,5,Library,4,Strongly Disagree,No,28/01/2021,18
32,Female,Chinese God,Mandarin,University,5,Social Media,Hall,9,Library,4,Neutral,Yes,28/01/2021,32
30,Female,Taoism,English,University,3,Friends/Extended Family/Neighbour,Bio Lab,3,Library,5,Strongly Disagree,Yes,29/01/2021,20
57,Female,Islam,Mandarin,Primary School or below,3,Friends/Extended Family/Neighbour,VA room,8,Phy Lab,6,Strongly Agree,,28/01/2021,20
57,Agender,Chinese God,Mandarin,Primary School or below,1,Newspaper/ Magazine,Chem Lab,1,Phy Lab,8,Neutral,No,28/01/2021,39
56,Male,Catholicism,Vietnamese,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,VA room,0,Basketball Court,6,Disagree,Yes,29/01/2021,59
53,Male,Hinduism,Indonesian,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Bio Lab,0,Canteen,1,Strongly Agree,No,28/01/2021,30
56,Female,Catholicism,Mandarin,Master or above,3,Friends/Extended Family/Neighbour,Chem Lab,1,Library,6,Agree,,28/01/2021,9
34,Male,Catholicism,Filipino,Master or above,2,School Website,Basketball Court,8,Phy Lab,0,Agree,No,28/01/2021,52
34,Genderqueer,Catholicism,Vietnamese,Primary School or below,5,Newspaper/ Magazine,Bio Lab,7,Phy Lab,7,Disagree,No,29/01/2021,18
23,Female,Protestantism,Mandarin,University,3,Newspaper/ Magazine,VA room,3,Chem Lab,4,Strongly Agree,,29/01/2021,59
59,Male,Protestantism,Filipino,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Chem Lab,0,Basketball Court,10,Neutral,No,29/01/2021,50
41,Non-binary,Protestantism,Thai,Primary School or below,1,Social Media,Bio Lab,5,Library,4,Strongly Disagree,No,28/01/2021,5
23,Female,Confucianism,Cantonese,Master or above,4,Social Media,Hall,1,Chem Lab,2,Disagree,Yes,28/01/2021,7
21,Female,Chinese God,Cantonese,Primary School or below,1,Newspaper/ Magazine,Bio Lab,6,VA room,0,Strongly Disagree,No,29/01/2021,13
42,Female,Islam,Thai,Primary School or below,2,Social Media,Library,6,Canteen,9,Strongly Disagree,No,28/01/2021,51
46,Female,Chinese God,Thai,Master or above,5,Social Media,VA room,3,Library,1,Strongly Disagree,Yes,29/01/2021,58
46,Genderqueer,Protestantism,Cantonese,Primary School or below,4,School Website,Canteen,3,VA room,9,Strongly Disagree,No,28/01/2021,51
54,Male,Taoism,Indonesian,Secondary School/Associate Degree/Diploma,1,Social Media,Basketball Court,9,Canteen,2,Disagree,,28/01/2021,43
27,Male,Confucianism,Filipino,University,1,Social Media,Library,9,Bio Lab,8,Neutral,No,28/01/2021,5
45,Female,Islam,Mandarin,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Chem Lab,1,Bio Lab,2,Strongly Disagree,Yes,29/01/2021,11
44,Male,Sikhism,Indonesian,Master or above,1,Social Media,Basketball Court,1,Library,5,Agree,Yes,29/01/2021,16
58,Female,Catholicism,English,Primary School or below,3,Friends/Extended Family/Neighbour,VA room,9,Chem Lab,10,Strongly Agree,Yes,29/01/2021,6
22,Female,Sikhism,Filipino,Primary School or below,1,Newspaper/ Magazine,Phy Lab,0,Library,0,Disagree,Yes,29/01/2021,60
41,Female,Islam,Filipino,University,4,Newspaper/ Magazine,Hall,7,Chem Lab,3,Disagree,No,29/01/2021,5
25,Female,Catholicism,Indonesian,Secondary School/Associate Degree/Diploma,1,School Website,Basketball Court,9,Hall,1,Strongly Agree,No,28/01/2021,28
18,Male,Sikhism,Vietnamese,Master or above,1,Friends/Extended Family/Neighbour,Phy Lab,3,Library,8,Disagree,Yes,28/01/2021,41
51,Male,Catholicism,English,Primary School or below,4,Friends/Extended Family/Neighbour,Phy Lab,6,Phy Lab,0,Agree,Yes,29/01/2021,23
26,Female,Taoism,English,Master or above,5,Newspaper/ Magazine,Bio Lab,8,Bio Lab,0,Neutral,,29/01/2021,49
31,Female,Chinese God,Thai,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Hall,7,VA room,7,Agree,Yes,28/01/2021,18
45,Male,Hinduism,Cantonese,University,1,School Website,Chem Lab,1,Canteen,9,Strongly Agree,,29/01/2021,47
54,Male,Chinese God,Filipino,University,2,Friends/Extended Family/Neighbour,Phy Lab,9,Chem Lab,1,Strongly Disagree,No,28/01/2021,34
25,Male,Chinese God,English,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Library,6,Hall,8,Disagree,Yes,28/01/2021,35
