age,gender,religion,spokenLanguage,education,numberOfChildren,channel,goodPlace,goodPlaceScore,badPlace,badPlaceScore,teacherFriendly,choose,createdTime
32,Female,Islam,Mandarin,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Library,6,VA room,7,Strongly Disagree,Yes,29/01/2023
18,Agender,Sikhism,English,Master or above,2,Social Media,Bio Lab,1,Library,7,Neutral,No,28/01/2023
32,Male,Protestantism,Filipino,University,0,Newspaper/ Magazine,Phy Lab,7,Basketball Court,8,Agree,No,28/01/2023
34,Male,Protestantism,Cantonese,Secondary School/Associate Degree/Diploma,5,Newspaper/ Magazine,Chem Lab,7,VA room,9,Strongly Agree,No,29/01/2023
50,Male,Taoism,Cantonese,Secondary School/Associate Degree/Diploma,5,School Website,Library,7,Phy Lab,10,Strongly Disagree,No,29/01/2023
34,Male,Taoism,Cantonese,Master or above,4,School Website,Basketball Court,9,Chem Lab,2,Disagree,No,28/01/2023
20,Female,Sikhism,Indonesian,Primary School or below,3,Social Media,VA room,3,Bio Lab,9,Neutral,Yes,28/01/2023
59,Male,Catholicism,Mandarin,Master or above,4,Newspaper/ Magazine,Library,4,Phy Lab,0,Strongly Agree,No,29/01/2023
55,Female,Islam,Indonesian,Primary School or below,0,Newspaper/ Magazine,Canteen,0,Library,10,Strongly Disagree,Yes,29/01/2023
41,Male,Confucianism,Vietnamese,Secondary School/Associate Degree/Diploma,5,School Website,VA room,7,Canteen,0,Agree,Yes,29/01/2023
23,Male,Islam,Mandarin,University,3,Social Media,Bio Lab,10,Bio Lab,4,Neutral,No,28/01/2023
37,Female,Hinduism,Vietnamese,Primary School or below,5,Friends/Extended Family/Neighbour,Library,9,Library,9,Neutral,Yes,28/01/2023
40,Male,Taoism,Cantonese,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Hall,9,Chem Lab,10,Strongly Agree,No,28/01/2023
50,Male,Taoism,Indonesian,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Library,1,Chem Lab,4,Agree,,29/01/2023
31,Male,Taoism,Mandarin,Primary School or below,0,Friends/Extended Family/Neighbour,Bio Lab,5,VA room,8,Strongly Disagree,No,28/01/2023
36,Female,Hinduism,Cantonese,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Chem Lab,8,Library,4,Agree,No,28/01/2023
51,Male,Taoism,Thai,University,1,Social Media,Phy Lab,2,Chem Lab,5,Neutral,Yes,29/01/2023
35,Male,Islam,Filipino,University,3,Social Media,Phy Lab,9,Library,4,Disagree,Yes,29/01/2023
58,Female,Hinduism,Filipino,University,1,Friends/Extended Family/Neighbour,Bio Lab,4,Hall,6,Disagree,Yes,29/01/2023
18,Female,Protestantism,Vietnamese,Secondary School/Associate Degree/Diploma,2,Social Media,Phy Lab,6,Chem Lab,3,Neutral,No,29/01/2023
38,Male,Taoism,English,Primary School or below,5,Newspaper/ Magazine,Library,0,Bio Lab,1,Strongly Disagree,No,29/01/2023
46,Female,Islam,Mandarin,Primary School or below,5,Newspaper/ Magazine,Canteen,5,Basketball Court,1,Disagree,Yes,29/01/2023
18,Female,Catholicism,Mandarin,University,3,Friends/Extended Family/Neighbour,Bio Lab,3,Library,2,Strongly Agree,Yes,28/01/2023
35,Male,Confucianism,Cantonese,Primary School or below,3,Newspaper/ Magazine,Basketball Court,9,Hall,6,Agree,Yes,29/01/2023
36,Male,Protestantism,English,Secondary School/Associate Degree/Diploma,4,School Website,Canteen,1,Chem Lab,3,Strongly Agree,Yes,29/01/2023
60,Female,Catholicism,Thai,University,5,Social Media,Phy Lab,7,Hall,2,Strongly Agree,,28/01/2023
53,Female,Islam,Filipino,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Library,0,Library,10,Strongly Agree,Yes,29/01/2023
54,Female,Hinduism,Filipino,Master or above,0,Friends/Extended Family/Neighbour,Hall,1,VA room,9,Strongly Agree,No,29/01/2023
25,Male,Chinese God,Vietnamese,University,2,School Website,Library,4,Chem Lab,0,Disagree,No,28/01/2023
56,Male,Chinese God,Indonesian,Master or above,2,School Website,Canteen,6,Chem Lab,2,Strongly Disagree,No,28/01/2023
50,Male,Hinduism,Mandarin,University,2,Social Media,Phy Lab,3,Phy Lab,9,Strongly Disagree,No,28/01/2023
40,Female,Confucianism,Filipino,Secondary School/Associate Degree/Diploma,5,School Website,Hall,8,Canteen,0,Disagree,No,29/01/2023
59,Female,Buddhism,Indonesian,Master or above,3,School Website,Canteen,1,Bio Lab,3,Agree,Yes,29/01/2023
46,Female,Protestantism,English,Secondary School/Associate Degree/Diploma,3,School Website,Basketball Court,8,Phy Lab,3,Disagree,Yes,28/01/2023
40,Male,Protestantism,Indonesian,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,Chem Lab,1,Canteen,4,Strongly Agree,No,28/01/2023
31,Female,Catholicism,English,Primary School or below,3,Social Media,Canteen,9,Library,2,Strongly Disagree,No,29/01/2023
42,Male,Chinese God,Filipino,Master or above,4,Friends/Extended Family/Neighbour,Hall,3,VA room,9,Agree,No,28/01/2023
34,Male,Islam,Cantonese,University,2,School Website,Chem Lab,0,Bio Lab,6,Neutral,No,29/01/2023
22,Female,Taoism,Indonesian,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Bio Lab,4,Basketball Court,9,Agree,No,29/01/2023
18,Male,Catholicism,Mandarin,Master or above,2,Friends/Extended Family/Neighbour,Canteen,9,Library,6,Disagree,No,28/01/2023
57,Male,Hinduism,Cantonese,Master or above,5,Newspaper/ Magazine,Bio Lab,10,Hall,5,Strongly Disagree,No,29/01/2023
40,Female,Confucianism,Filipino,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Basketball Court,3,Hall,0,Strongly Agree,Yes,29/01/2023
42,Male,Buddhism,Vietnamese,Primary School or below,3,Social Media,Chem Lab,9,Hall,2,Neutral,Yes,29/01/2023
32,Female,Confucianism,English,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Hall,4,Chem Lab,2,Strongly Agree,Yes,28/01/2023
21,Female,Chinese God,Filipino,Primary School or below,5,Friends/Extended Family/Neighbour,Canteen,6,VA room,2,Agree,Yes,29/01/2023
35,Female,Hinduism,Filipino,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Bio Lab,9,Canteen,0,Strongly Agree,No,28/01/2023
54,Female,Islam,Cantonese,University,5,Social Media,VA room,7,Basketball Court,4,Strongly Agree,Yes,29/01/2023
41,Female,Taoism,Indonesian,University,2,Newspaper/ Magazine,Chem Lab,7,Bio Lab,6,Strongly Agree,,29/01/2023
20,Female,Chinese God,Vietnamese,University,0,School Website,Canteen,4,Library,8,Strongly Agree,No,29/01/2023
36,Female,Chinese God,Vietnamese,Master or above,5,Friends/Extended Family/Neighbour,Hall,10,Hall,1,Agree,Yes,29/01/2023
24,Polygender,Catholicism,English,Master or above,5,Friends/Extended Family/Neighbour,Basketball Court,4,Basketball Court,2,Strongly Disagree,Yes,29/01/2023
58,Female,Confucianism,Mandarin,Primary School or below,4,Social Media,Bio Lab,6,Phy Lab,8,Disagree,No,28/01/2023
60,Non-binary,Islam,Thai,Secondary School/Associate Degree/Diploma,3,School Website,VA room,1,VA room,1,Agree,No,28/01/2023
34,Female,Taoism,Thai,Primary School or below,0,Social Media,Library,2,Basketball Court,4,Strongly Disagree,No,29/01/2023
48,Male,Buddhism,English,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,VA room,5,Library,8,Strongly Agree,Yes,29/01/2023
39,Male,Taoism,Cantonese,Primary School or below,1,Newspaper/ Magazine,VA room,0,Library,6,Agree,Yes,28/01/2023
21,Male,Islam,Thai,University,2,Social Media,VA room,8,VA room,2,Disagree,Yes,28/01/2023
54,Male,Confucianism,Cantonese,Primary School or below,3,School Website,Bio Lab,8,Chem Lab,4,Strongly Agree,No,28/01/2023
41,Male,Buddhism,Mandarin,University,5,Friends/Extended Family/Neighbour,Chem Lab,0,Phy Lab,3,Neutral,Yes,28/01/2023
49,Male,Hinduism,Cantonese,University,0,Social Media,Phy Lab,8,Library,1,Strongly Agree,No,29/01/2023
32,Female,Buddhism,Cantonese,University,4,Friends/Extended Family/Neighbour,Bio Lab,4,Chem Lab,3,Strongly Agree,Yes,28/01/2023
59,Male,Confucianism,Mandarin,Secondary School/Associate Degree/Diploma,3,School Website,Basketball Court,8,Library,8,Agree,Yes,29/01/2023
59,Male,Sikhism,Filipino,Secondary School/Associate Degree/Diploma,2,Social Media,Phy Lab,4,Chem Lab,6,Strongly Agree,No,29/01/2023
38,Male,Taoism,Filipino,Primary School or below,5,Friends/Extended Family/Neighbour,Basketball Court,1,Hall,6,Strongly Agree,Yes,29/01/2023
47,Female,Confucianism,Cantonese,Master or above,4,Friends/Extended Family/Neighbour,Basketball Court,5,Phy Lab,3,Strongly Agree,Yes,29/01/2023
50,Male,Sikhism,Thai,University,1,Newspaper/ Magazine,Canteen,0,Phy Lab,0,Disagree,No,28/01/2023
35,Female,Sikhism,Indonesian,Primary School or below,4,Social Media,Phy Lab,5,Chem Lab,0,Neutral,,29/01/2023
28,Female,Islam,Cantonese,Primary School or below,5,Friends/Extended Family/Neighbour,Hall,3,Phy Lab,2,Disagree,Yes,29/01/2023
31,Male,Catholicism,Thai,Secondary School/Associate Degree/Diploma,4,Social Media,Basketball Court,1,Library,0,Strongly Disagree,Yes,29/01/2023
37,Male,Confucianism,Thai,University,1,Newspaper/ Magazine,Basketball Court,2,Hall,3,Strongly Disagree,Yes,29/01/2023
28,Male,Confucianism,Mandarin,Secondary School/Associate Degree/Diploma,5,School Website,Library,3,Bio Lab,0,Neutral,Yes,28/01/2023
28,Male,Protestantism,Cantonese,University,3,Newspaper/ Magazine,Hall,9,Phy Lab,9,Strongly Agree,Yes,28/01/2023
60,Female,Taoism,Cantonese,Master or above,0,Social Media,Bio Lab,3,Chem Lab,8,Disagree,Yes,28/01/2023
44,Male,Sikhism,Vietnamese,Master or above,2,School Website,Basketball Court,8,Canteen,7,Strongly Agree,No,29/01/2023
52,Female,Sikhism,Cantonese,Master or above,4,Newspaper/ Magazine,Phy Lab,9,Hall,9,Strongly Disagree,Yes,28/01/2023
51,Male,Chinese God,Indonesian,Primary School or below,4,Social Media,Phy Lab,9,Chem Lab,7,Agree,,28/01/2023
31,Male,Confucianism,Mandarin,University,3,Friends/Extended Family/Neighbour,Bio Lab,0,Canteen,5,Strongly Agree,Yes,28/01/2023
51,Male,Islam,Cantonese,Master or above,5,Social Media,Canteen,1,Chem Lab,8,Strongly Agree,No,29/01/2023
25,Male,Protestantism,Thai,University,3,Newspaper/ Magazine,Basketball Court,7,Canteen,6,Disagree,Yes,29/01/2023
31,Male,Chinese God,Thai,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Hall,3,Library,7,Strongly Agree,No,28/01/2023
20,Male,Buddhism,Mandarin,Master or above,2,School Website,VA room,0,VA room,6,Neutral,No,29/01/2023
32,Male,Chinese God,Thai,Primary School or below,0,Friends/Extended Family/Neighbour,Hall,1,Hall,4,Strongly Disagree,No,29/01/2023
34,Female,Hinduism,Mandarin,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Hall,7,Phy Lab,2,Neutral,No,29/01/2023
24,Female,Buddhism,Indonesian,Primary School or below,4,Newspaper/ Magazine,Library,7,Library,9,Neutral,Yes,28/01/2023
37,Male,Buddhism,Indonesian,Primary School or below,0,School Website,Chem Lab,1,Canteen,8,Neutral,No,29/01/2023
19,Male,Confucianism,Filipino,Master or above,5,School Website,Hall,4,Library,10,Disagree,No,29/01/2023
57,Female,Confucianism,Indonesian,Primary School or below,4,Friends/Extended Family/Neighbour,Phy Lab,1,Canteen,9,Strongly Disagree,No,28/01/2023
24,Male,Confucianism,Mandarin,Primary School or below,1,Newspaper/ Magazine,Hall,9,Bio Lab,8,Agree,Yes,28/01/2023
22,Female,Taoism,Vietnamese,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,Phy Lab,7,Chem Lab,6,Disagree,No,28/01/2023
44,Female,Buddhism,English,University,0,School Website,Basketball Court,5,Canteen,10,Neutral,No,29/01/2023
36,Female,Hinduism,Thai,University,2,Newspaper/ Magazine,Basketball Court,10,Library,1,Agree,No,29/01/2023
38,Male,Taoism,Cantonese,Secondary School/Associate Degree/Diploma,0,School Website,Bio Lab,3,Chem Lab,6,Neutral,No,29/01/2023
58,Male,Buddhism,Cantonese,Master or above,4,Social Media,Canteen,6,Canteen,3,Agree,,28/01/2023
32,Female,Catholicism,Thai,Secondary School/Associate Degree/Diploma,3,School Website,Library,0,Library,6,Strongly Agree,Yes,29/01/2023
25,Female,Confucianism,Vietnamese,Primary School or below,1,Friends/Extended Family/Neighbour,Canteen,3,VA room,5,Strongly Disagree,No,29/01/2023
35,Female,Protestantism,Mandarin,Secondary School/Associate Degree/Diploma,0,School Website,Canteen,2,Hall,7,Disagree,Yes,28/01/2023
41,Male,Catholicism,Thai,University,1,Social Media,Hall,6,VA room,1,Strongly Disagree,Yes,29/01/2023
54,Bigender,Protestantism,Vietnamese,Master or above,1,School Website,Library,9,Basketball Court,2,Agree,No,29/01/2023
28,Male,Protestantism,Mandarin,University,5,Friends/Extended Family/Neighbour,Basketball Court,1,Hall,4,Strongly Agree,No,28/01/2023
54,Male,Hinduism,Vietnamese,Primary School or below,1,School Website,Chem Lab,2,Canteen,10,Neutral,No,29/01/2023
25,Male,Buddhism,Mandarin,Primary School or below,1,Friends/Extended Family/Neighbour,Hall,1,Basketball Court,1,Neutral,No,28/01/2023
46,Female,Confucianism,Mandarin,Primary School or below,5,Social Media,Hall,7,Phy Lab,8,Neutral,Yes,29/01/2023
22,Female,Hinduism,Cantonese,University,3,Social Media,VA room,1,Library,0,Neutral,Yes,28/01/2023
18,Male,Confucianism,Vietnamese,Primary School or below,4,School Website,Library,5,Bio Lab,2,Strongly Disagree,Yes,29/01/2023
58,Female,Taoism,Indonesian,Secondary School/Associate Degree/Diploma,1,School Website,Library,2,Phy Lab,0,Disagree,Yes,29/01/2023
42,Female,Hinduism,Filipino,Master or above,5,School Website,Hall,9,Canteen,6,Disagree,Yes,28/01/2023
54,Female,Taoism,Vietnamese,Primary School or below,4,Social Media,Library,3,VA room,6,Disagree,,28/01/2023
18,Male,Confucianism,Thai,Master or above,0,Social Media,Phy Lab,4,Library,2,Agree,No,28/01/2023
45,Agender,Islam,Thai,Secondary School/Associate Degree/Diploma,1,Social Media,Canteen,9,Chem Lab,4,Strongly Disagree,Yes,29/01/2023
30,Male,Protestantism,Mandarin,University,5,Newspaper/ Magazine,Phy Lab,9,Canteen,1,Disagree,Yes,28/01/2023
57,Female,Islam,Indonesian,Primary School or below,5,Social Media,Library,8,Hall,6,Agree,Yes,29/01/2023
50,Genderqueer,Taoism,Filipino,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Basketball Court,1,Canteen,6,Strongly Disagree,Yes,28/01/2023
24,Agender,Taoism,Vietnamese,Master or above,0,Social Media,VA room,4,Bio Lab,6,Neutral,No,28/01/2023
29,Male,Confucianism,Cantonese,Secondary School/Associate Degree/Diploma,3,Social Media,Bio Lab,1,Chem Lab,10,Strongly Disagree,Yes,28/01/2023
21,Male,Taoism,Cantonese,Primary School or below,0,Friends/Extended Family/Neighbour,Library,4,Canteen,3,Neutral,,28/01/2023
40,Agender,Islam,Vietnamese,Primary School or below,1,School Website,Canteen,1,Phy Lab,5,Agree,,28/01/2023
25,Agender,Catholicism,Filipino,Primary School or below,2,Social Media,VA room,9,Chem Lab,2,Strongly Agree,No,28/01/2023
48,Male,Islam,Filipino,Master or above,2,Social Media,Chem Lab,8,Phy Lab,10,Strongly Disagree,Yes,29/01/2023
30,Female,Chinese God,Thai,Primary School or below,0,Friends/Extended Family/Neighbour,Basketball Court,3,Canteen,2,Neutral,No,29/01/2023
42,Male,Confucianism,Indonesian,University,4,Social Media,Bio Lab,1,Canteen,0,Strongly Disagree,Yes,29/01/2023
30,Male,Taoism,Vietnamese,Master or above,5,Social Media,Basketball Court,6,Bio Lab,4,Disagree,No,29/01/2023
33,Male,Protestantism,Filipino,Master or above,0,Newspaper/ Magazine,Phy Lab,3,Canteen,3,Strongly Agree,Yes,28/01/2023
55,Male,Protestantism,Indonesian,University,1,Friends/Extended Family/Neighbour,Bio Lab,2,Hall,1,Strongly Disagree,Yes,29/01/2023
24,Female,Buddhism,Indonesian,University,1,Social Media,Phy Lab,1,Basketball Court,8,Disagree,Yes,28/01/2023
56,Female,Chinese God,Thai,University,4,Social Media,Library,0,VA room,10,Agree,No,28/01/2023
37,Female,Chinese God,Cantonese,Master or above,0,School Website,Library,6,VA room,8,Neutral,No,28/01/2023
54,Female,Hinduism,Filipino,University,3,Friends/Extended Family/Neighbour,Bio Lab,5,Hall,6,Strongly Agree,Yes,28/01/2023
37,Female,Protestantism,Filipino,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Library,6,VA room,10,Neutral,No,29/01/2023
30,Female,Confucianism,Filipino,Master or above,5,Newspaper/ Magazine,Canteen,6,Bio Lab,5,Strongly Disagree,Yes,28/01/2023
31,Male,Hinduism,Filipino,University,1,Friends/Extended Family/Neighbour,Hall,3,Bio Lab,0,Disagree,Yes,28/01/2023
36,Polygender,Chinese God,Cantonese,Primary School or below,0,Newspaper/ Magazine,Library,2,Library,7,Strongly Disagree,No,29/01/2023
57,Female,Islam,Indonesian,Master or above,3,Newspaper/ Magazine,Bio Lab,5,Chem Lab,9,Neutral,Yes,29/01/2023
23,Male,Hinduism,Filipino,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Hall,0,VA room,2,Strongly Disagree,No,28/01/2023
32,Male,Chinese God,Vietnamese,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,VA room,5,Canteen,7,Strongly Disagree,No,28/01/2023
29,Male,Buddhism,Thai,Primary School or below,1,Social Media,Hall,10,Bio Lab,6,Disagree,Yes,28/01/2023
48,Male,Hinduism,Cantonese,Secondary School/Associate Degree/Diploma,2,School Website,VA room,6,Library,4,Strongly Agree,Yes,29/01/2023
26,Female,Sikhism,Mandarin,Secondary School/Associate Degree/Diploma,2,Social Media,Library,6,Canteen,6,Agree,Yes,29/01/2023
19,Male,Protestantism,English,Master or above,0,School Website,Phy Lab,9,Basketball Court,9,Neutral,No,28/01/2023
45,Male,Hinduism,Thai,Secondary School/Associate Degree/Diploma,5,School Website,Library,6,Phy Lab,2,Disagree,Yes,29/01/2023
37,Female,Taoism,Cantonese,University,0,Friends/Extended Family/Neighbour,Chem Lab,5,Chem Lab,5,Strongly Agree,No,28/01/2023
23,Female,Protestantism,Indonesian,Primary School or below,0,Social Media,Hall,6,Basketball Court,8,Neutral,No,29/01/2023
27,Female,Confucianism,Mandarin,Primary School or below,4,Newspaper/ Magazine,Hall,7,Bio Lab,1,Strongly Agree,No,28/01/2023
23,Female,Islam,Thai,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Basketball Court,3,Basketball Court,2,Neutral,Yes,28/01/2023
33,Male,Protestantism,Indonesian,Master or above,3,School Website,VA room,0,Phy Lab,5,Disagree,No,28/01/2023
19,Female,Sikhism,Indonesian,Primary School or below,2,Friends/Extended Family/Neighbour,Bio Lab,0,Chem Lab,1,Disagree,Yes,28/01/2023
29,Male,Catholicism,Cantonese,Master or above,5,School Website,Basketball Court,7,Chem Lab,8,Strongly Agree,No,28/01/2023
36,Female,Buddhism,Thai,Primary School or below,1,Friends/Extended Family/Neighbour,Library,8,Bio Lab,1,Neutral,,28/01/2023
19,Male,Protestantism,Filipino,Master or above,2,Friends/Extended Family/Neighbour,Chem Lab,2,Phy Lab,0,Agree,No,28/01/2023
40,Female,Hinduism,Indonesian,Secondary School/Associate Degree/Diploma,5,Newspaper/ Magazine,Basketball Court,10,Phy Lab,10,Strongly Disagree,Yes,29/01/2023
35,Male,Sikhism,Vietnamese,Secondary School/Associate Degree/Diploma,2,School Website,Chem Lab,6,Bio Lab,4,Neutral,No,28/01/2023
38,Female,Islam,Indonesian,Master or above,3,Social Media,VA room,6,Basketball Court,7,Agree,Yes,29/01/2023
51,Male,Sikhism,Indonesian,Master or above,1,Newspaper/ Magazine,Chem Lab,7,Phy Lab,5,Neutral,Yes,28/01/2023
42,Male,Islam,Filipino,Secondary School/Associate Degree/Diploma,5,Newspaper/ Magazine,Hall,8,Chem Lab,8,Strongly Disagree,No,28/01/2023
57,Female,Hinduism,Indonesian,Master or above,2,Friends/Extended Family/Neighbour,Phy Lab,9,Canteen,7,Disagree,No,29/01/2023
52,Female,Buddhism,Cantonese,University,0,Social Media,Canteen,3,Hall,2,Agree,,28/01/2023
58,Polygender,Buddhism,Indonesian,Primary School or below,0,Newspaper/ Magazine,Basketball Court,4,Basketball Court,9,Strongly Agree,Yes,29/01/2023
60,Male,Buddhism,Cantonese,Primary School or below,3,Friends/Extended Family/Neighbour,Phy Lab,6,Chem Lab,3,Strongly Agree,No,28/01/2023
48,Female,Taoism,Cantonese,Primary School or below,0,Social Media,Library,8,Chem Lab,2,Disagree,,28/01/2023
60,Non-binary,Taoism,Indonesian,University,4,Social Media,Phy Lab,0,Canteen,5,Agree,No,28/01/2023
56,Male,Catholicism,English,Primary School or below,1,Social Media,Canteen,0,Basketball Court,0,Disagree,No,28/01/2023
31,Female,Chinese God,Mandarin,Secondary School/Associate Degree/Diploma,3,School Website,Chem Lab,7,Basketball Court,1,Disagree,No,28/01/2023
26,Male,Chinese God,Cantonese,Secondary School/Associate Degree/Diploma,1,School Website,Library,1,Canteen,8,Disagree,Yes,29/01/2023
25,Male,Sikhism,Mandarin,Primary School or below,5,Social Media,VA room,3,Library,0,Strongly Agree,Yes,29/01/2023
50,Male,Buddhism,Cantonese,University,0,Social Media,Canteen,10,Library,3,Agree,Yes,28/01/2023
36,Female,Sikhism,Indonesian,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,VA room,5,VA room,9,Strongly Disagree,No,28/01/2023
52,Male,Chinese God,Vietnamese,Master or above,3,Newspaper/ Magazine,Canteen,0,Basketball Court,4,Agree,Yes,29/01/2023
35,Male,Catholicism,English,Primary School or below,3,School Website,Phy Lab,9,Library,8,Agree,No,29/01/2023
35,Female,Taoism,English,University,2,Social Media,Canteen,6,Library,7,Disagree,Yes,29/01/2023
55,Male,Protestantism,Mandarin,University,4,School Website,Library,10,Library,9,Strongly Disagree,No,28/01/2023
32,Female,Confucianism,English,Secondary School/Associate Degree/Diploma,2,School Website,Hall,0,Bio Lab,0,Neutral,Yes,28/01/2023
37,Female,Confucianism,Cantonese,University,4,Social Media,Basketball Court,3,Canteen,1,Strongly Disagree,No,28/01/2023
