age,gender,religion,spokenLanguage,education,numberOfChildren,channel,goodPlace,goodPlaceScore,badPlace,badPlaceScore,teacherFriendly,choose,createdTime,themeLevel,travelTime
41,Female,Chinese God,Vietnamese,Secondary School/Associate Degree/Diploma,5,School Website,Basketball Court,4,Basketball Court,5,Neutral,No,28/01/2020,Strongly Dislike,
36,Male,Sikhism,Thai,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,VA room,2,VA room,2,Disagree,Yes,29/01/2020,Partly Dislike,
35,Female,Hinduism,Mandarin,Master or above,4,School Website,Basketball Court,2,Hall,4,Neutral,No,29/01/2020,Partly Dislike,
18,Male,Protestantism,Thai,Master or above,4,School Website,Library,2,Canteen,10,Agree,Yes,29/01/2020,Partly Like,
23,Male,Taoism,Cantonese,Master or above,5,Social Media,Chem Lab,3,Phy Lab,2,Strongly Agree,No,29/01/2020,Partly Like,
18,Female,Protestantism,Filipino,University,1,School Website,Bio Lab,2,Hall,0,Strongly Disagree,Yes,29/01/2020,Strongly Dislike,
27,Female,Buddhism,Mandarin,Master or above,0,Friends/Extended Family/Neighbour,Basketball Court,3,Chem Lab,6,Disagree,No,28/01/2020,Strongly Dislike,
24,Female,Chinese God,Mandarin,Master or above,5,Newspaper/ Magazine,Hall,3,Basketball Court,3,Neutral,No,28/01/2020,Partly Dislike,
19,Male,Protestantism,Mandarin,University,3,Social Media,Phy Lab,7,Bio Lab,6,Strongly Agree,Yes,29/01/2020,Strongly Dislike,
47,Female,Sikhism,Thai,Primary School or below,5,Social Media,Basketball Court,3,Chem Lab,3,Strongly Agree,No,29/01/2020,Strongly Like,
24,Female,Catholicism,Indonesian,Secondary School/Associate Degree/Diploma,0,Friends/Extended Family/Neighbour,Basketball Court,0,VA room,3,Strongly Agree,Yes,28/01/2020,Partly Like,
53,Female,Sikhism,Cantonese,Primary School or below,3,Social Media,Bio Lab,7,Chem Lab,10,Agree,No,28/01/2020,Strongly Like,
24,Female,Taoism,English,Master or above,4,Friends/Extended Family/Neighbour,VA room,2,Library,2,Strongly Disagree,No,29/01/2020,Strongly Like,
60,Male,Islam,Vietnamese,Primary School or below,0,Social Media,Hall,9,Bio Lab,2,Neutral,No,28/01/2020,Strongly Dislike,
60,Male,Sikhism,Filipino,Primary School or below,1,Social Media,Bio Lab,4,Bio Lab,8,Agree,No,29/01/2020,Partly Dislike,
32,Female,Buddhism,Thai,University,1,Social Media,Canteen,3,Canteen,4,Agree,No,28/01/2020,Strongly Dislike,
19,Polygender,Sikhism,English,Master or above,0,Friends/Extended Family/Neighbour,Phy Lab,2,Chem Lab,8,Agree,No,28/01/2020,Partly Like,
49,Male,Confucianism,English,Primary School or below,1,Newspaper/ Magazine,Bio Lab,1,Library,0,Disagree,No,28/01/2020,Normal,
32,Genderqueer,Sikhism,Indonesian,Secondary School/Associate Degree/Diploma,4,Social Media,Phy Lab,2,Bio Lab,4,Strongly Agree,Yes,28/01/2020,Normal,
18,Male,Catholicism,Indonesian,Master or above,0,School Website,Hall,5,Chem Lab,0,Neutral,Yes,28/01/2020,Partly Like,
43,Female,Catholicism,Filipino,Primary School or below,0,Newspaper/ Magazine,Basketball Court,3,Hall,7,Agree,No,28/01/2020,Strongly Dislike,
47,Male,Catholicism,Vietnamese,Secondary School/Associate Degree/Diploma,4,Social Media,Library,2,Basketball Court,9,Disagree,No,29/01/2020,Partly Dislike,
60,Female,Confucianism,English,University,3,Friends/Extended Family/Neighbour,VA room,6,Phy Lab,4,Agree,No,28/01/2020,Strongly Like,
26,Male,Islam,Cantonese,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Canteen,9,Canteen,3,Strongly Agree,Yes,29/01/2020,Partly Dislike,
47,Bigender,Islam,Cantonese,Master or above,5,School Website,Basketball Court,6,Hall,6,Agree,No,29/01/2020,Strongly Dislike,
39,Male,Taoism,English,Master or above,5,Social Media,Phy Lab,8,VA room,7,Strongly Agree,No,29/01/2020,Partly Like,
32,Male,Catholicism,Filipino,Secondary School/Associate Degree/Diploma,0,School Website,Basketball Court,8,Phy Lab,9,Disagree,No,29/01/2020,Strongly Like,
18,Female,Catholicism,Indonesian,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Canteen,3,VA room,2,Neutral,Yes,28/01/2020,Partly Dislike,
22,Female,Catholicism,Thai,Master or above,4,Newspaper/ Magazine,Basketball Court,6,Chem Lab,5,Neutral,No,29/01/2020,Strongly Like,
41,Female,Confucianism,English,Secondary School/Associate Degree/Diploma,2,Social Media,Basketball Court,7,Library,5,Disagree,Yes,28/01/2020,Normal,
19,Non-binary,Confucianism,Cantonese,University,3,School Website,Canteen,0,Canteen,3,Strongly Agree,Yes,29/01/2020,Strongly Dislike,
45,Male,Buddhism,Vietnamese,Secondary School/Associate Degree/Diploma,3,Social Media,Canteen,2,Bio Lab,1,Agree,Yes,28/01/2020,Strongly Dislike,
25,Female,Confucianism,Cantonese,University,4,School Website,Chem Lab,3,Chem Lab,10,Strongly Agree,No,29/01/2020,Strongly Like,
53,Male,Catholicism,English,Primary School or below,0,Newspaper/ Magazine,VA room,9,Library,8,Strongly Disagree,No,29/01/2020,Strongly Dislike,
25,Non-binary,Hinduism,Indonesian,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Hall,8,Library,4,Strongly Agree,Yes,28/01/2020,Partly Dislike,
35,Male,Catholicism,Indonesian,Master or above,1,Newspaper/ Magazine,Canteen,2,Canteen,5,Neutral,Yes,28/01/2020,Partly Like,
37,Male,Protestantism,Vietnamese,University,0,School Website,Library,6,Bio Lab,0,Agree,No,28/01/2020,Partly Dislike,
26,Male,Catholicism,Filipino,Master or above,2,Social Media,VA room,2,Bio Lab,9,Strongly Disagree,Yes,28/01/2020,Partly Dislike,
34,Male,Sikhism,English,University,0,School Website,Chem Lab,10,Canteen,10,Strongly Disagree,No,28/01/2020,Strongly Like,
35,Male,Buddhism,Cantonese,Master or above,2,Friends/Extended Family/Neighbour,Library,9,Hall,6,Strongly Agree,No,29/01/2020,Partly Like,
27,Female,Protestantism,Thai,Primary School or below,4,Social Media,Library,7,Basketball Court,10,Strongly Disagree,No,28/01/2020,Strongly Dislike,
47,Female,Catholicism,English,Primary School or below,0,Newspaper/ Magazine,Canteen,1,Canteen,8,Agree,No,29/01/2020,Partly Dislike,
51,Female,Sikhism,Mandarin,Master or above,5,Friends/Extended Family/Neighbour,Canteen,2,Canteen,1,Disagree,Yes,29/01/2020,Partly Dislike,
30,Female,Catholicism,Indonesian,Master or above,0,Social Media,VA room,5,Phy Lab,2,Strongly Disagree,No,29/01/2020,Partly Dislike,
55,Female,Islam,Filipino,Master or above,0,Social Media,Chem Lab,7,Bio Lab,0,Agree,Yes,29/01/2020,Strongly Like,
55,Female,Buddhism,Filipino,Master or above,0,Friends/Extended Family/Neighbour,Library,4,Chem Lab,2,Agree,No,29/01/2020,Partly Dislike,
34,Male,Sikhism,Vietnamese,Master or above,0,Social Media,Basketball Court,0,Hall,8,Strongly Disagree,No,29/01/2020,Partly Dislike,
36,Male,Confucianism,Vietnamese,Master or above,1,School Website,VA room,10,Phy Lab,5,Strongly Agree,No,29/01/2020,Strongly Like,
23,Male,Confucianism,English,Primary School or below,5,Newspaper/ Magazine,Canteen,10,Bio Lab,6,Strongly Disagree,No,28/01/2020,Partly Dislike,
43,Male,Confucianism,Vietnamese,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Basketball Court,2,Library,6,Strongly Disagree,No,29/01/2020,Strongly Like,
57,Male,Buddhism,Filipino,University,1,Social Media,Library,4,Library,6,Agree,Yes,29/01/2020,Normal,
37,Female,Confucianism,English,University,0,Newspaper/ Magazine,VA room,2,Library,1,Strongly Disagree,Yes,29/01/2020,Strongly Like,
24,Male,Catholicism,Thai,Master or above,4,Friends/Extended Family/Neighbour,Canteen,6,Chem Lab,8,Disagree,Yes,29/01/2020,Strongly Like,
24,Female,Sikhism,Indonesian,Secondary School/Associate Degree/Diploma,2,Newspaper/ Magazine,Bio Lab,9,Phy Lab,3,Disagree,Yes,29/01/2020,Partly Like,
21,Female,Buddhism,Indonesian,Master or above,0,Social Media,Basketball Court,3,Bio Lab,8,Strongly Agree,Yes,29/01/2020,Strongly Dislike,
49,Male,Buddhism,Mandarin,Master or above,2,Friends/Extended Family/Neighbour,Basketball Court,3,Chem Lab,1,Neutral,No,29/01/2020,Strongly Like,
26,Bigender,Buddhism,Mandarin,Secondary School/Associate Degree/Diploma,1,Social Media,Library,4,Library,10,Strongly Agree,No,29/01/2020,Partly Like,
31,Male,Catholicism,Thai,Master or above,4,Newspaper/ Magazine,Phy Lab,1,Chem Lab,4,Strongly Disagree,No,29/01/2020,Normal,
45,Male,Taoism,Filipino,Master or above,4,Social Media,Chem Lab,4,Chem Lab,9,Strongly Disagree,Yes,29/01/2020,Strongly Like,
38,Male,Taoism,English,Master or above,2,Social Media,Chem Lab,5,Chem Lab,5,Disagree,Yes,29/01/2020,Partly Like,
35,Female,Chinese God,Thai,Master or above,0,Friends/Extended Family/Neighbour,Phy Lab,8,Chem Lab,10,Neutral,Yes,29/01/2020,Strongly Like,
27,Male,Hinduism,Cantonese,Master or above,0,Social Media,Basketball Court,6,Library,1,Strongly Agree,No,29/01/2020,Partly Like,
57,Female,Buddhism,Thai,Primary School or below,2,Social Media,VA room,4,Canteen,3,Agree,Yes,28/01/2020,Partly Dislike,
53,Male,Catholicism,Vietnamese,Primary School or below,4,Friends/Extended Family/Neighbour,Canteen,2,Basketball Court,10,Neutral,No,28/01/2020,Normal,
44,Male,Protestantism,Thai,Secondary School/Associate Degree/Diploma,4,Social Media,Basketball Court,5,Basketball Court,8,Disagree,Yes,28/01/2020,Strongly Like,
52,Female,Taoism,Vietnamese,Secondary School/Associate Degree/Diploma,5,School Website,Chem Lab,1,Basketball Court,10,Agree,Yes,28/01/2020,Partly Dislike,
51,Male,Confucianism,Indonesian,Primary School or below,2,Newspaper/ Magazine,Chem Lab,2,Canteen,10,Strongly Agree,No,29/01/2020,Strongly Like,
40,Male,Catholicism,Vietnamese,Primary School or below,3,Newspaper/ Magazine,Chem Lab,0,Chem Lab,6,Disagree,No,29/01/2020,Partly Dislike,
34,Male,Islam,Mandarin,Master or above,2,Social Media,Bio Lab,5,Chem Lab,4,Agree,No,28/01/2020,Partly Like,
57,Female,Taoism,Filipino,Master or above,2,Friends/Extended Family/Neighbour,Library,7,Hall,5,Strongly Agree,No,28/01/2020,Normal,
50,Male,Catholicism,Vietnamese,Master or above,3,School Website,Canteen,10,Canteen,7,Neutral,No,28/01/2020,Partly Like,
39,Female,Hinduism,Mandarin,University,5,School Website,Hall,6,Library,3,Agree,Yes,28/01/2020,Normal,
23,Male,Catholicism,Indonesian,Primary School or below,1,Newspaper/ Magazine,Chem Lab,3,Basketball Court,4,Strongly Agree,Yes,29/01/2020,Strongly Dislike,
46,Male,Taoism,Filipino,University,5,Social Media,Chem Lab,7,Library,8,Agree,Yes,29/01/2020,Normal,
23,Female,Buddhism,Cantonese,Primary School or below,5,Friends/Extended Family/Neighbour,Hall,7,Hall,1,Disagree,No,28/01/2020,Strongly Dislike,
59,Female,Confucianism,Indonesian,University,5,Social Media,VA room,10,Canteen,9,Disagree,No,28/01/2020,Normal,
40,Male,Sikhism,English,University,0,Friends/Extended Family/Neighbour,Phy Lab,1,Phy Lab,7,Agree,No,29/01/2020,Strongly Like,
42,Female,Protestantism,Mandarin,Master or above,0,School Website,Library,6,Library,2,Agree,Yes,28/01/2020,Partly Dislike,
60,Female,Protestantism,Filipino,Secondary School/Associate Degree/Diploma,2,Friends/Extended Family/Neighbour,VA room,8,VA room,6,Strongly Agree,No,28/01/2020,Strongly Like,
58,Female,Buddhism,Indonesian,Master or above,1,Friends/Extended Family/Neighbour,Basketball Court,7,Hall,9,Strongly Disagree,Yes,28/01/2020,Normal,
59,Female,Protestantism,English,Master or above,0,Newspaper/ Magazine,Bio Lab,9,Canteen,8,Neutral,No,29/01/2020,Strongly Dislike,
44,Male,Confucianism,Indonesian,University,1,Newspaper/ Magazine,Chem Lab,8,Library,4,Agree,Yes,28/01/2020,Normal,
24,Male,Taoism,Filipino,Primary School or below,1,Social Media,Basketball Court,4,VA room,3,Neutral,No,29/01/2020,Partly Like,
60,Female,Hinduism,Vietnamese,Secondary School/Associate Degree/Diploma,5,Newspaper/ Magazine,Basketball Court,8,VA room,10,Neutral,Yes,28/01/2020,Normal,
27,Male,Catholicism,Thai,Primary School or below,3,Newspaper/ Magazine,Hall,2,Chem Lab,0,Strongly Agree,No,29/01/2020,Partly Dislike,
41,Genderfluid,Sikhism,Indonesian,University,5,Newspaper/ Magazine,Library,2,Hall,9,Agree,No,29/01/2020,Normal,
60,Polygender,Sikhism,Vietnamese,Master or above,3,Friends/Extended Family/Neighbour,VA room,5,Hall,3,Neutral,No,28/01/2020,Partly Like,
31,Male,Confucianism,Cantonese,Primary School or below,2,School Website,Hall,6,Hall,9,Neutral,No,28/01/2020,Partly Dislike,
22,Male,Taoism,Filipino,University,0,School Website,Library,7,Canteen,5,Strongly Disagree,Yes,28/01/2020,Partly Dislike,
24,Female,Hinduism,Indonesian,Master or above,1,School Website,VA room,0,Phy Lab,10,Strongly Disagree,No,28/01/2020,Strongly Dislike,
49,Male,Chinese God,Cantonese,Primary School or below,0,Newspaper/ Magazine,VA room,7,Phy Lab,1,Strongly Disagree,No,28/01/2020,Partly Like,
36,Male,Catholicism,English,Secondary School/Associate Degree/Diploma,3,School Website,Library,10,Hall,2,Neutral,Yes,29/01/2020,Normal,
60,Female,Chinese God,Vietnamese,Primary School or below,2,School Website,Library,5,Canteen,9,Disagree,Yes,28/01/2020,Normal,
33,Male,Hinduism,Cantonese,Master or above,3,Newspaper/ Magazine,Canteen,1,Chem Lab,3,Strongly Disagree,No,29/01/2020,Strongly Like,
49,Male,Taoism,Cantonese,Master or above,2,Newspaper/ Magazine,Hall,9,Library,1,Strongly Disagree,No,29/01/2020,Strongly Like,
32,Female,Catholicism,Vietnamese,Primary School or below,3,School Website,Basketball Court,8,Phy Lab,9,Agree,No,29/01/2020,Strongly Dislike,
55,Male,Taoism,Indonesian,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Hall,10,Hall,5,Strongly Agree,Yes,29/01/2020,Partly Like,
50,Female,Taoism,Mandarin,Master or above,4,Social Media,Library,6,Basketball Court,3,Disagree,Yes,28/01/2020,Strongly Dislike,
29,Male,Confucianism,Mandarin,University,3,Newspaper/ Magazine,Canteen,4,Chem Lab,1,Disagree,No,29/01/2020,Normal,
28,Male,Islam,Cantonese,Primary School or below,3,Social Media,Library,10,VA room,9,Strongly Agree,Yes,28/01/2020,Partly Like,
56,Polygender,Protestantism,Mandarin,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Hall,0,Basketball Court,5,Neutral,Yes,28/01/2020,Strongly Dislike,
22,Male,Islam,English,Secondary School/Associate Degree/Diploma,3,Social Media,Chem Lab,9,Canteen,2,Neutral,Yes,28/01/2020,Partly Like,
43,Male,Hinduism,English,Master or above,2,Newspaper/ Magazine,Canteen,7,Chem Lab,3,Neutral,No,29/01/2020,Partly Dislike,
28,Female,Confucianism,Cantonese,University,2,Social Media,VA room,1,Bio Lab,8,Disagree,No,29/01/2020,Strongly Dislike,
25,Female,Taoism,Mandarin,Primary School or below,1,Social Media,Chem Lab,7,Phy Lab,2,Disagree,Yes,29/01/2020,Strongly Dislike,
56,Male,Confucianism,Thai,University,2,Newspaper/ Magazine,Basketball Court,10,Basketball Court,2,Neutral,Yes,28/01/2020,Strongly Dislike,
35,Male,Catholicism,Cantonese,University,0,Newspaper/ Magazine,Chem Lab,7,Library,10,Strongly Agree,No,29/01/2020,Partly Dislike,
52,Female,Confucianism,Indonesian,Secondary School/Associate Degree/Diploma,5,School Website,Hall,5,Chem Lab,6,Disagree,No,28/01/2020,Partly Like,
21,Female,Islam,Cantonese,Master or above,3,Social Media,Basketball Court,8,Bio Lab,0,Disagree,No,28/01/2020,Strongly Like,
35,Female,Buddhism,Vietnamese,Master or above,2,Social Media,Basketball Court,6,VA room,7,Agree,Yes,28/01/2020,Strongly Dislike,
28,Female,Catholicism,Thai,University,3,Newspaper/ Magazine,Phy Lab,5,Canteen,3,Strongly Agree,No,28/01/2020,Partly Dislike,
38,Male,Taoism,Thai,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Bio Lab,7,Chem Lab,9,Agree,Yes,29/01/2020,Normal,
38,Female,Catholicism,Thai,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,VA room,7,Bio Lab,2,Agree,Yes,29/01/2020,Normal,
47,Female,Protestantism,English,University,0,Friends/Extended Family/Neighbour,Bio Lab,10,Library,1,Disagree,Yes,29/01/2020,Strongly Dislike,
31,Male,Protestantism,Mandarin,Master or above,1,Newspaper/ Magazine,Chem Lab,1,Canteen,9,Strongly Disagree,Yes,28/01/2020,Normal,
40,Male,Sikhism,Indonesian,Primary School or below,4,School Website,Basketball Court,3,Hall,5,Disagree,No,29/01/2020,Partly Like,
20,Female,Sikhism,Mandarin,University,1,Friends/Extended Family/Neighbour,Chem Lab,5,Chem Lab,7,Strongly Disagree,Yes,29/01/2020,Normal,
26,Female,Taoism,Indonesian,Secondary School/Associate Degree/Diploma,5,Newspaper/ Magazine,Hall,10,Chem Lab,1,Strongly Disagree,Yes,29/01/2020,Partly Like,
54,Male,Taoism,Mandarin,Primary School or below,0,School Website,VA room,3,Bio Lab,2,Disagree,No,29/01/2020,Strongly Like,
32,Female,Confucianism,English,Master or above,3,Newspaper/ Magazine,Basketball Court,10,Library,10,Neutral,No,28/01/2020,Strongly Like,
46,Agender,Catholicism,Indonesian,University,0,Social Media,Hall,6,Library,2,Agree,Yes,28/01/2020,Partly Like,
26,Female,Islam,Filipino,University,4,Friends/Extended Family/Neighbour,Canteen,4,VA room,6,Agree,Yes,28/01/2020,Strongly Like,
20,Male,Hinduism,Vietnamese,Secondary School/Associate Degree/Diploma,1,Friends/Extended Family/Neighbour,Basketball Court,10,Chem Lab,4,Neutral,Yes,29/01/2020,Normal,
29,Female,Protestantism,Filipino,Secondary School/Associate Degree/Diploma,2,School Website,Chem Lab,4,Phy Lab,3,Neutral,Yes,29/01/2020,Normal,
19,Male,Protestantism,Indonesian,Secondary School/Associate Degree/Diploma,1,Newspaper/ Magazine,Hall,0,Phy Lab,1,Disagree,Yes,28/01/2020,Strongly Dislike,
56,Genderqueer,Protestantism,Vietnamese,Primary School or below,2,Social Media,Library,5,Chem Lab,4,Agree,No,28/01/2020,Strongly Like,
59,Male,Islam,Mandarin,Primary School or below,3,Friends/Extended Family/Neighbour,Library,8,Phy Lab,0,Strongly Agree,No,28/01/2020,Normal,
21,Male,Taoism,Indonesian,University,4,Social Media,Basketball Court,5,VA room,4,Neutral,Yes,29/01/2020,Partly Like,
45,Female,Sikhism,Mandarin,University,1,School Website,Chem Lab,5,Basketball Court,8,Strongly Disagree,Yes,29/01/2020,Partly Dislike,
49,Female,Chinese God,Indonesian,Master or above,1,Social Media,Basketball Court,10,VA room,7,Neutral,No,29/01/2020,Strongly Like,
28,Female,Confucianism,Mandarin,Secondary School/Associate Degree/Diploma,5,School Website,Library,10,Basketball Court,10,Strongly Agree,Yes,28/01/2020,Partly Like,
24,Female,Confucianism,English,Secondary School/Associate Degree/Diploma,3,Friends/Extended Family/Neighbour,Chem Lab,0,VA room,7,Neutral,No,28/01/2020,Partly Like,
44,Male,Taoism,Filipino,Primary School or below,4,Social Media,VA room,9,Library,8,Disagree,Yes,29/01/2020,Partly Dislike,
37,Male,Catholicism,English,Secondary School/Associate Degree/Diploma,3,Newspaper/ Magazine,Library,0,Chem Lab,5,Neutral,No,28/01/2020,Partly Like,
57,Male,Protestantism,Filipino,University,1,Social Media,Basketball Court,9,Library,1,Strongly Disagree,No,28/01/2020,Strongly Like,
54,Male,Sikhism,Cantonese,Master or above,4,Friends/Extended Family/Neighbour,Hall,8,Bio Lab,3,Neutral,Yes,28/01/2020,Partly Dislike,
35,Male,Protestantism,Thai,University,5,Friends/Extended Family/Neighbour,Canteen,2,Bio Lab,8,Disagree,No,29/01/2020,Strongly Like,
55,Male,Catholicism,English,Master or above,2,School Website,Library,4,Basketball Court,7,Strongly Agree,Yes,29/01/2020,Strongly Like,
41,Male,Buddhism,Mandarin,Secondary School/Associate Degree/Diploma,3,School Website,Chem Lab,10,Chem Lab,7,Strongly Agree,Yes,29/01/2020,Normal,
48,Male,Taoism,Cantonese,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,Phy Lab,0,Library,2,Agree,No,29/01/2020,Strongly Like,
43,Male,Catholicism,Indonesian,University,5,School Website,Hall,4,Canteen,6,Strongly Agree,No,29/01/2020,Partly Like,
37,Female,Chinese God,Cantonese,Primary School or below,3,Social Media,Phy Lab,4,Bio Lab,10,Disagree,Yes,29/01/2020,Strongly Like,
18,Male,Taoism,English,University,4,Social Media,Canteen,9,Bio Lab,0,Neutral,Yes,29/01/2020,Normal,
22,Female,Protestantism,Indonesian,Primary School or below,4,School Website,Canteen,5,Basketball Court,8,Neutral,No,29/01/2020,Normal,
58,Female,Confucianism,Cantonese,Secondary School/Associate Degree/Diploma,3,School Website,Bio Lab,3,Basketball Court,4,Agree,No,28/01/2020,Strongly Like,
26,Polygender,Buddhism,Thai,Primary School or below,1,Newspaper/ Magazine,Library,1,Bio Lab,4,Neutral,Yes,29/01/2020,Normal,
47,Genderqueer,Catholicism,Indonesian,Secondary School/Associate Degree/Diploma,5,Newspaper/ Magazine,Bio Lab,3,Chem Lab,6,Strongly Disagree,Yes,28/01/2020,Normal,
36,Female,Sikhism,English,Primary School or below,5,Social Media,Canteen,2,Phy Lab,7,Neutral,No,29/01/2020,Partly Like,
56,Male,Buddhism,Cantonese,Secondary School/Associate Degree/Diploma,5,Friends/Extended Family/Neighbour,Canteen,9,Chem Lab,4,Disagree,Yes,28/01/2020,Partly Dislike,
31,Male,Buddhism,English,Master or above,5,Social Media,VA room,4,Basketball Court,6,Agree,No,29/01/2020,Strongly Dislike,
59,Male,Buddhism,Mandarin,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,Phy Lab,9,Basketball Court,5,Strongly Disagree,Yes,28/01/2020,Partly Dislike,
32,Female,Taoism,Indonesian,Primary School or below,3,Social Media,Library,7,Hall,8,Strongly Disagree,No,29/01/2020,Strongly Dislike,
57,Female,Hinduism,Cantonese,University,1,School Website,Hall,4,Canteen,5,Neutral,Yes,28/01/2020,Strongly Like,
52,Female,Taoism,Filipino,Master or above,3,School Website,Phy Lab,0,Phy Lab,10,Strongly Agree,Yes,29/01/2020,Strongly Like,
51,Female,Sikhism,Filipino,Primary School or below,2,Newspaper/ Magazine,Chem Lab,1,Bio Lab,0,Strongly Disagree,Yes,28/01/2020,Partly Dislike,
37,Female,Confucianism,Indonesian,Master or above,5,Friends/Extended Family/Neighbour,Chem Lab,4,Bio Lab,7,Agree,Yes,29/01/2020,Strongly Dislike,
35,Male,Taoism,Thai,Secondary School/Associate Degree/Diploma,4,Newspaper/ Magazine,Basketball Court,9,Bio Lab,2,Disagree,Yes,28/01/2020,Strongly Dislike,
49,Male,Sikhism,Indonesian,Secondary School/Associate Degree/Diploma,0,Newspaper/ Magazine,Canteen,7,Hall,2,Strongly Agree,No,28/01/2020,Partly Dislike,
32,Female,Catholicism,Vietnamese,Secondary School/Associate Degree/Diploma,4,Friends/Extended Family/Neighbour,Hall,0,VA room,8,Agree,No,29/01/2020,Partly Dislike,
58,Male,Taoism,Filipino,Secondary School/Associate Degree/Diploma,1,Social Media,Bio Lab,3,Basketball Court,7,Strongly Agree,Yes,29/01/2020,Normal,
59,Female,Islam,Indonesian,Secondary School/Associate Degree/Diploma,2,School Website,Hall,5,Basketball Court,7,Agree,Yes,29/01/2020,Partly Like,
